book_id,descr,descr_vecs
1,"In a future North America, where the rulers of Panem maintain control through an annual televised survival competition pitting young people from each of the twelve districts against one another, sixteen-year-old Katniss's skills are put to the test when she voluntarily takes her younger sister's place.","[ 0.11025178 -0.21036306 -0.02822943  0.26600036  0.24508892  0.05348708
  0.15707079  0.1505426   0.12754951 -0.02906175 -0.22629312  0.13805807
 -0.21687548  0.04019422 -0.22345841 -0.1093982  -0.02150327  0.35148683
 -0.2333399   0.10739678 -0.21137334  0.27815336 -0.03493667 -0.15679707
  0.21614182 -0.08497578  0.5098346   0.15782434  0.3404524   0.09872326
  0.22306089 -0.3209648   0.38083208 -0.20316264  0.06898426 -0.22166318
  0.20780624  0.13851862 -0.01817747 -0.09964554 -0.43283746  0.39973348
  0.04209959 -0.10022306  0.16434172  0.00332849 -0.32594115  0.24420269
 -0.08725883 -0.14586927 -0.44098246  0.39304802 -0.00514286 -0.17090374
 -0.34980905  0.13242288 -0.10771856  0.04962365  0.02353978 -0.15396415
  0.18307139 -0.55912083  0.08464538 -0.18940596  0.08934834 -0.13566303
  0.35424417 -0.17015699 -0.02665654  0.15198657  0.12274767  0.342477
  0.14007114 -0.10935271 -0.31667066 -0.363903   -0.28979442 -0.2716711
 -0.11905468 -0.34593228 -0.10362809  0.14615874  0.03012319 -0.23887432
 -0.05052631  0.13335103  0.19846557  0.07248641 -0.2714164   0.19161637
 -0.07274666  0.0364362   0.47750708  0.27223918 -0.13126104  0.01374147]"
2,None,"[-2.0151265  -0.5475724  -0.34907195  0.06797177 -0.6386244  -0.07909918
  0.5382699   0.2399975  -1.0482233  -0.99053377  1.2759348   0.1396097
  0.5813868   1.508919   -0.25044075  0.94502676 -0.8532129  -1.7825289
  0.30327588  0.13694471 -0.08080913  1.6327952   0.2949224  -1.5976578
  0.3720469   0.78044456  0.08054352  0.8171373  -0.4894435   0.6375451
 -0.5110781  -0.09524089  1.5602906  -0.55652034 -0.35836172 -1.2476404
  0.506914   -0.69409955  0.38579398  1.6935374  -1.0081066   0.39384592
  0.49307752  0.0072014  -0.22553656 -1.620474   -1.0460374   1.2747433
  0.02331781 -0.256688    0.63050723  1.1033481   0.87546855 -1.3073437
  0.27957934 -1.4245371   1.1520602  -0.380946   -0.14104547  0.16022706
 -0.49056572  0.29169887 -0.66013175  0.09255859  1.5342916   0.5682583
 -0.06567673 -0.4766092   1.1643381   0.03793895 -0.49418998 -0.4988321
  1.8710673  -0.79205114 -0.02732884 -0.8423415  -0.03406318 -0.08453797
  0.60199976 -0.8070576  -0.9596926  -0.6179585  -1.0062473  -1.2268089
  1.3424575   1.033446    0.9300915   0.63386846  0.47207513 -0.13889848
 -1.873177   -0.19239074  2.8596385   0.31981122  0.30252454  1.5506909 ]"
3,None,"[-2.0151265  -0.5475724  -0.34907195  0.06797177 -0.6386244  -0.07909918
  0.5382699   0.2399975  -1.0482233  -0.99053377  1.2759348   0.1396097
  0.5813868   1.508919   -0.25044075  0.94502676 -0.8532129  -1.7825289
  0.30327588  0.13694471 -0.08080913  1.6327952   0.2949224  -1.5976578
  0.3720469   0.78044456  0.08054352  0.8171373  -0.4894435   0.6375451
 -0.5110781  -0.09524089  1.5602906  -0.55652034 -0.35836172 -1.2476404
  0.506914   -0.69409955  0.38579398  1.6935374  -1.0081066   0.39384592
  0.49307752  0.0072014  -0.22553656 -1.620474   -1.0460374   1.2747433
  0.02331781 -0.256688    0.63050723  1.1033481   0.87546855 -1.3073437
  0.27957934 -1.4245371   1.1520602  -0.380946   -0.14104547  0.16022706
 -0.49056572  0.29169887 -0.66013175  0.09255859  1.5342916   0.5682583
 -0.06567673 -0.4766092   1.1643381   0.03793895 -0.49418998 -0.4988321
  1.8710673  -0.79205114 -0.02732884 -0.8423415  -0.03406318 -0.08453797
  0.60199976 -0.8070576  -0.9596926  -0.6179585  -1.0062473  -1.2268089
  1.3424575   1.033446    0.9300915   0.63386846  0.47207513 -0.13889848
 -1.873177   -0.19239074  2.8596385   0.31981122  0.30252454  1.5506909 ]"
4,"Harper Lee's Pulitzer Prize-winning masterwork of honor and injustice in the deep South -- and the heroism of one man in the face of blind and violent hatred One of the best-loved stories of all time, To Kill a Mockingbird has been translated into more than forty languages, sold more than thirty million copies worldwide, served as the basis of an enormously popular motion picture, and was voted one of the best novels of the twentieth century by librarians across the country. A gripping, heart-wrenching, and wholly remarkable tale of coming-of-age in a South poisoned by virulent prejudice, it views a world of great beauty and savage inequities through the eyes of a young girl, as her father -- a crusading local lawyer -- risks everything to defend a black man unjustly accused of a terrible crime.","[ 2.73116946e-01 -1.85827732e-01 -1.73755307e-02  4.77604270e-02
  1.19044788e-01  2.55690128e-01  8.42980891e-02  8.88595581e-02
  1.50334671e-01  1.13319710e-01 -2.28590667e-01 -1.57096192e-01
 -3.26419950e-01 -7.97235668e-02 -2.26127598e-02 -1.37256891e-01
  9.10730138e-02  2.97825038e-01 -1.30620614e-01  7.23097622e-02
 -1.75924972e-01  1.42887861e-01  2.12386772e-01 -2.98116028e-01
  1.62312925e-01 -2.61774749e-01  4.85490382e-01 -9.58173424e-02
  4.17585582e-01  1.08523898e-01 -6.66464642e-02 -1.41868308e-01
  2.52077430e-01 -1.98972359e-01 -3.96113470e-02 -1.76612049e-01
  2.37265378e-01  9.19036642e-02 -1.39188036e-01 -2.20344454e-01
 -3.55849385e-01  2.98951238e-01 -2.01031744e-01  8.72945692e-03
  2.19329834e-01  1.33876920e-01 -2.40132153e-01 -3.86587493e-02
  1.22021817e-01  6.87308162e-02 -4.07204449e-01  7.49975368e-02
  8.04308131e-02 -4.97516058e-02 -1.38354614e-01  1.53648108e-01
 -1.99145943e-01  3.72582749e-02  9.14582983e-02 -1.87053591e-01
 -9.08713788e-02 -4.38778490e-01 -1.28277898e-01 -2.81382114e-01
  3.56887951e-02 -1.42164901e-01  1.89701810e-01 -1.30987957e-01
  1.80006787e-01  1.32966682e-01  2.11385009e-03  2.98899353e-01
  8.49293396e-02 -9.71047953e-03 -2.43734941e-01 -2.94660121e-01
 -2.64629334e-01 -2.59258002e-01  7.33507946e-02 -1.34355232e-01
 -6.51061013e-02  7.18463585e-02  3.67545374e-02 -6.37846887e-02
 -1.24648206e-01  1.27674773e-01  1.23863965e-01  1.96278661e-01
 -3.25389653e-01  3.21814895e-01 -2.32942700e-02  9.45893452e-02
  3.47272456e-01  3.16154152e-01 -9.13912952e-02  4.79608396e-04]"
5,"A young man newly rich tries to recapture the past and win back his former love, despite the fact that she has married.","[ 0.07466012 -0.37611896 -0.02056331  0.19079182 -0.09961285  0.13238849
  0.38020012 -0.21301597 -0.07315721  0.10922378  0.1143961   0.02490062
 -0.06744342 -0.12388721  0.02224923 -0.07728515 -0.333951    0.04378011
  0.14271455 -0.01483406 -0.12398574  0.38453215  0.08548727 -0.3052469
  0.20659146 -0.03915819  0.21446699  0.01227281 -0.0241354   0.30106235
  0.08596386  0.04017602  0.20679657 -0.17419237 -0.00774605 -0.38857013
  0.02494021 -0.20212486  0.07547872  0.23916808 -0.1884348   0.3909547
 -0.14366128  0.1816185   0.33310702  0.19036101 -0.16982882  0.17953067
  0.26596585  0.09772659 -0.34057942  0.19638075 -0.29654062  0.03973705
 -0.13944298  0.29388767 -0.14834683  0.1937497  -0.14681494 -0.15680762
  0.03444738 -0.27864248  0.03854273 -0.316185    0.14239615  0.02220539
  0.16219287 -0.07099257 -0.08213557  0.03724709  0.01211847  0.22858499
 -0.38133496 -0.02785149 -0.0609033  -0.31452897 -0.17023762 -0.29941732
  0.05090591 -0.16943973 -0.35548496 -0.24071941 -0.26560745  0.12521634
  0.07700355  0.17985186  0.21012676  0.06390227 -0.1805864   0.21342069
  0.05531521 -0.08454531  0.38282004  0.31519505 -0.39233878  0.01566884]"
6,"Now a Major Motion Picture TODAY Book Club pick TIME magazine’s #1 Fiction Book of 2012 ""The greatest romance story of this decade."" —Entertainment Weekly -Millions of copies sold- #1 New York Times Bestseller #1 Wall Street Journal Bestseller #1 USA Today Bestseller #1 International Bestseller #1 Indie Bestseller Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel’s story is about to be completely rewritten. Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning-author John Green’s most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.","[ 0.03563817 -0.24943407 -0.10899159  0.15877083  0.12627514  0.26888788
  0.0206065   0.41350886  0.16089003  0.06394144 -0.06862533  0.08697376
 -0.4548548  -0.07206199 -0.1954434   0.04667099  0.06106277  0.07146076
 -0.2853829  -0.11073291 -0.2742931   0.1577741   0.12646297  0.02231653
  0.08562622 -0.08465429  0.5160751   0.26442268  0.2579456   0.17083403
  0.0032293  -0.22900087  0.22731002 -0.0828435  -0.12714373 -0.21780032
  0.19417034 -0.14596891 -0.12594393 -0.12555674 -0.41057315  0.07680682
  0.00119026  0.20221905  0.02252581  0.0692789  -0.182665   -0.14245135
  0.0864251   0.04276586 -0.3189184   0.27829385  0.16211566 -0.19165729
 -0.2670279   0.06625431  0.0399894  -0.01491292  0.20555313 -0.05878733
 -0.10641953 -0.30784273 -0.00998638 -0.19028234 -0.10569548 -0.20713606
  0.0646581  -0.00702023  0.08708256 -0.19667469  0.21068723  0.20348577
  0.3133776  -0.16838643  0.01387823 -0.21157941 -0.19523434 -0.3696361
 -0.00751267 -0.17229177  0.05873501 -0.08801101 -0.1048011  -0.02197309
 -0.14482576  0.01603524  0.16367766  0.10750796 -0.37649977  0.47363457
 -0.0251213  -0.15733342  0.6892069   0.32661802 -0.18492097  0.14709197]"
7,"Bilbo Baggins, a respectable, well-to-do hobbit, lives comfortably in his hobbit-hole until the day the wandering wizard Gandalf chooses him to take part in an adventure from which he may never return.","[-5.63431680e-02 -3.11299950e-01  1.86543912e-01 -7.09934607e-02
  5.10671595e-03  2.21488655e-01  2.32612789e-01  1.61920562e-01
 -3.29132862e-02  1.89211026e-01 -5.35416044e-03 -1.89271450e-01
 -3.15630659e-02 -9.20177847e-02 -1.22112274e-01 -1.44141823e-01
  2.92975724e-01  9.11860019e-02  3.98258958e-03 -3.59036140e-02
  3.60999852e-02  2.41827354e-01  1.86937898e-01 -2.17094421e-01
 -1.08475173e-02 -1.07713237e-01  4.38575119e-01  2.05675811e-02
  1.50740549e-01  2.06972942e-01 -1.58865184e-01  2.82506943e-02
  4.58737046e-01 -6.12198524e-02  1.73292726e-01 -3.96614164e-01
  3.61516833e-01 -1.24548398e-01  5.02009913e-02 -1.88915685e-01
 -3.73811394e-01  6.24822438e-01  1.59200281e-01  1.63062006e-01
  9.45029929e-02 -1.08500801e-01  2.71711070e-02 -3.66718397e-02
  1.83842346e-01 -8.88396129e-02 -3.38586181e-01 -1.47900745e-01
  7.98108652e-02  5.82987927e-02 -7.77217746e-02 -1.62252933e-01
 -1.43098876e-01  5.23506701e-02 -9.20258313e-02 -2.17595220e-01
  2.31306523e-01 -1.36385798e-01 -1.18029200e-01 -3.38018537e-01
  1.38415366e-01  1.22576937e-01  2.47173443e-01 -2.71239251e-01
 -1.13775529e-01  3.44736278e-01  1.86516736e-02  6.99198917e-02
 -2.58136243e-02  4.46632430e-02 -9.72711816e-02 -5.59829525e-04
 -9.46914926e-02 -2.99117386e-01 -6.63255677e-02 -1.85063392e-01
 -1.77606381e-02 -7.86556229e-02 -5.15791364e-02 -8.23607296e-02
 -1.30391568e-01 -6.17866330e-02  1.48229957e-01 -7.36836568e-02
 -3.77214044e-01  3.11324656e-01  2.63312254e-02 -1.31343022e-01
  2.80979931e-01  3.30476493e-01 -2.61724383e-01  7.35917762e-02]"
8,"J.D. Salinger's classic of adolescent angst is now available for the first time in trade paperback. Holden Caulfield, knowing he is to be expelled from school, decides to leave early. He spends three days in New York City and tells the story of what he did and suffered there.","[ 0.12205419 -0.27570552  0.0073469  -0.09123638 -0.1367574  -0.00446576
  0.33429727  0.15289754  0.26481313  0.2693279   0.04332688 -0.07594486
 -0.23970453  0.02976393 -0.17377    -0.24268211 -0.1531774   0.06462748
  0.20036846  0.07700357 -0.39492264  0.1676469  -0.09277498 -0.25641522
 -0.03591394 -0.07415176  0.3941102   0.17460106 -0.03720185  0.28541043
 -0.13798659  0.22508083  0.19051042 -0.01130179  0.01084173  0.0317829
 -0.04146766 -0.05200562  0.0046619  -0.03523884 -0.05167802  0.17451224
 -0.13423301  0.02503116  0.14334689  0.0736459   0.16520219  0.18777639
  0.36678702 -0.13123561 -0.28708717  0.03803203 -0.02730251 -0.15479404
 -0.21491848 -0.08285289 -0.01889418 -0.18959202  0.29537842 -0.02424867
 -0.04089426 -0.38254124 -0.21203779  0.02645568  0.1857148   0.16786148
  0.1516444  -0.04940736  0.0629536   0.23319931  0.18304844  0.00879251
 -0.09976523 -0.04846761  0.03841536 -0.2871295  -0.28710544 -0.31787044
 -0.15052734 -0.19649372 -0.15967178 -0.00888699 -0.281156    0.02901581
  0.13270018  0.10689614  0.03076913  0.12997545 -0.43181625  0.51193476
  0.01933905 -0.13212864  0.37787938  0.3957971  -0.3372925  -0.13701181]"
9,"The explosive Robert Langdon thriller from Dan Brown, the #1 New York Times bestselling author of The Da Vinci Code and Inferno—now a major film directed by Ron Howard and starring Tom Hanks and Felicity Jones. Angels & Demons careens from enlightening epiphanies to dark truths as the battle between science and religion turns to war. This is the book that started it all: we meet Robert Langdon for the first time, caught up in a race against time to find an apocalyptic time-bomb, planted by an ancient secret society that has surfaced to carry out its ultimate threat: to destroy the Vatican.","[ 0.10595348 -0.3072611  -0.05727398  0.16645102  0.0926498   0.09656928
  0.17880884  0.22587     0.06715146  0.25700963 -0.03355552  0.13931842
 -0.34650308 -0.1503051  -0.08259483 -0.18908024 -0.1365358   0.16110851
 -0.0880568  -0.0932648  -0.26885828  0.05395599 -0.06745212 -0.24164984
  0.1325309  -0.13681558  0.635187    0.21158919  0.13645875  0.26373684
 -0.07929101 -0.31664312  0.20320207 -0.02376196 -0.06918892 -0.18949404
  0.3700818   0.08038753 -0.13992563 -0.14301935 -0.2834076   0.16310833
 -0.25859252  0.07083771 -0.02673005  0.20410876  0.03279112  0.12643535
  0.11652754  0.01837368 -0.3916747   0.0757054   0.24452102 -0.12300146
 -0.392816    0.09214061 -0.10845473  0.06294721  0.10960219 -0.14591074
 -0.16184606 -0.41990477 -0.06192237 -0.10159472  0.04657366 -0.08296635
  0.18968783  0.01365996  0.05004456  0.26222     0.12715197  0.24697758
  0.2289824  -0.02197491 -0.18904127 -0.26910344 -0.3179077  -0.31949145
 -0.04246575 -0.23094834 -0.11694953  0.12687214 -0.22592208 -0.09327518
 -0.00304663  0.06160649  0.12014044  0.25896704 -0.53518987  0.42980403
 -0.22970481 -0.08662462  0.69854987  0.29862815 -0.15832685  0.2366134 ]"
10,"Introduction by Elizabeth Hardwick Illustrations by Rockwell Kent Nominated as one of America’s best-loved novels by PBS’s The Great American Read First published in 1851, Herman Melville’s masterpiece is, in Elizabeth Hardwick’s words, “the greatest novel in American literature.” The saga of Captain Ahab and his monomaniacal pursuit of the white whale remains a peerless adventure story but one full of mythic grandeur, poetic majesty, and symbolic power. Filtered through the consciousness of the novel’s narrator, Ishmael, Moby-Dick draws us into a universe full of fascinating characters and stories, from the noble cannibal Queequeg to the natural history of whales, while reaching existential depths that excite debate and contemplation to this day.","[ 2.55583197e-01 -3.25457275e-01 -1.26376256e-01  1.21688783e-01
  1.89919397e-01  2.77064502e-01  2.49062285e-01  2.23972440e-01
  1.98263928e-01  6.52879179e-02 -8.42153933e-03  4.23314841e-03
 -4.99118656e-01 -1.36184424e-01 -1.50660589e-01 -2.62019873e-01
  5.81147964e-04  2.87458748e-01 -1.27455503e-01  4.23830526e-04
 -3.92166615e-01  1.54612809e-01 -3.70246032e-03 -7.78867304e-02
  1.29848048e-01 -2.97011025e-02  5.12445569e-01  1.03037529e-01
  3.81180495e-01  1.03961863e-01  8.29571486e-03 -3.07285756e-01
  3.32616955e-01  2.78550666e-02 -2.00081598e-02 -1.10689759e-01
  2.69687086e-01  1.66156560e-01 -1.76719531e-01 -2.37874374e-01
 -4.17162180e-01  1.06993616e-01 -1.37527630e-01  2.45214980e-02
  3.43262870e-03  1.79317042e-01 -2.06094474e-01  1.12504810e-01
  2.47105919e-02  1.16871715e-01 -5.19982636e-01  1.06675744e-01
  1.28517568e-01 -9.07935053e-02 -3.70283008e-01  4.27521653e-02
 -3.68690826e-02 -7.79308528e-02  1.54415235e-01 -1.15091883e-01
 -1.70337558e-01 -5.32496631e-01 -2.49510035e-02 -1.45384163e-01
 -4.18590531e-02 -1.24655120e-01  2.21309915e-01 -4.74923551e-02
 -4.83580641e-02  1.81783944e-01  9.75143537e-02  2.46135116e-01
  3.09083134e-01 -1.44551590e-01 -2.31973633e-01 -2.52508759e-01
 -4.98053938e-01 -2.45447561e-01 -2.29049660e-02 -3.08319002e-01
  3.95612381e-02  4.33947183e-02 -1.78992182e-01 -3.55687961e-02
 -1.59475550e-01  1.84550449e-01  4.65408675e-02  2.96792597e-01
 -3.50753337e-01  3.79305035e-01 -7.89626092e-02  6.79983478e-03
  7.19401658e-01  1.80477232e-01 -1.30750582e-01  2.29216650e-01]"
